Filing Date,Last Hearing Date,Description,Judge,Current High Court,IPC Section,Degree of Alleged Perpetrator,days,Random Priority,
16-06-2018,03-07-2019,Intentional insult with intent to provoke breach of the peace,S. Vaidyanathan,Madras,Section 504,2,382,10,
04-09-2017,30-06-2018,Abetting commission of offence by the public or by more than ten persons,Rahul Chaturvedi,Allahabad,Section 117,1,299,7,
05-03-2018,26-05-2018,Making a false document,Chandra Kumar Rai,Allahabad,Section 464,4,82,4,
06-06-2017,09-06-2018,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law,M. Dhandapani,Madras,Section 220,2,368,5,
14-01-2019,26-04-2019,Sale of noxious food or drink,Basant Balaji,Kerala,Section 273,3,102,6,
21-10-2017,09-10-2018,Act done with intent to prevent child being born alive or to cause it to die after birth,Kannammal Shanmuga Sundaram,Madras,Section 315,2,353,4,
20-12-2018,30-12-2019,Malignant act likely to spread infection of disease dangerous to life,Siddharth,Allahabad,Section 270,2,375,12,
02-01-2020,06-09-2020,Failure by person released on bail or bond to appear in Court,Shree Chandrashekhar,Jharkhand,Section 229A,4,248,17,
08-01-2018,29-04-2019,"Collecting arms, etc, with intention of waging war against the Government of India",Saral Srivastava,Allahabad,Section 122,1,476,1,
18-02-2018,21-04-2018,Fraudulent claim to property to prevent its seizure as forfeited or in execution,Ambuj Nath,Jharkhand,Section 207,3,62,2,
05-11-2017,30-09-2018,Grievous hurt,Rajeev Ranjan Prasad,Patna,Section 320,5,329,5,
17-02-2020,29-05-2021,Amount of fine,Lalit Batra,Punjab and Haryana,Section 63,4,467,16,
19-01-2019,07-07-2019,Voluntarily causing grievous hurt on provocation,Mudalikulam Raman Anitha,Kerala,Section 335,4,169,7,
17-09-2018,30-12-2019,Escape from confinement or custody negligently suffered by public servant,Avinash Gunwant Gharote,Bombay,Section 223,5,469,14,
29-11-2017,30-01-2019,Making or selling false weight or measure,Potlapalli Keshava Rao,Telangana,Section 267,5,427,10,
07-07-2019,17-04-2020,When the right of private defence of property extends to causing death,Sarasa Venkatanarayana Bhatti,Kerala,Section 103,5,285,18,
26-10-2019,10-07-2020,"Lurking house-trespass or house-breaking after preparation for hurt, assault or wrongful restraint",S. Muralidhar (CJ),Orissa,Section 455,5,258,17,
01-12-2019,14-06-2020,False statement in connection with an election,C. Hari Shankar,Delhi,Section 171G,3,196,15,
16-05-2018,14-03-2019,"Act done by a person justified, or by mistake of fact believing himself justified, by law",Wanlura Diengdoh,Meghalaya,Section 79,5,302,7,
19-01-2019,19-07-2019,Construction of reference to transportation,Rajesh Singh Chauhan,Allahabad,Section 53A,4,181,8,
10-11-2019,05-02-2021,Giving false information respecting an offence committed,M. Duraiswamy,Madras,Section 203,2,453,15,
20-10-2019,26-04-2020,Counterfeiting Indian coin,Anil Kshetarpar,Punjab and Haryana,Section 232,3,189,15,
06-12-2018,12-04-2019,Property mark,Sant Parkash,Punjab and Haryana,Section 479,3,127,5,
05-11-2017,15-03-2019,Import or export of counterfeit coin,Aniruddha Roy,Calcutta,Section 237,4,495,7,
01-06-2018,31-08-2018,Resistance or obstruction to lawful apprehension of another person,Panzhayanur Narayanan Prakash,Madras,Section 225,1,91,5,
25-05-2018,30-01-2019,Negligent conduct with respect to fire or combustible matter,Bhotanhosur Mallikarjuna Shyam Prasad,Karnataka,Section 285,1,250,8,
17-04-2017,13-02-2018,Concealing design to commit offence punishable with death or imprisonment for life,Shinde Sambhaji Shiwaji,Bombay,Section 118,1,302,2,
23-11-2019,09-05-2020,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed,Dr. Kauser Edappagath,Kerala,Section 222,2,168,13,
05-10-2018,06-03-2019,Dishonest misappropriation of property,Mahesh Sharadchandra Sonak,Bombay,Section 403,5,152,5,
28-04-2017,30-07-2017,Limit of punishment of offence made up of several offences,Harish Tandon,Calcutta,Section 71,4,93,2,
03-04-2018,12-12-2018,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation,Achintya Malla Bujor Barua,Gauhati,Section 181,2,253,5,
22-01-2019,09-09-2019,Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof,Vinay Gajanan Joshi,Bombay,Section 242,1,230,7,
04-09-2019,19-06-2020,Illegal payments in connection with an election,Tajinder Singh Dhindsa,Punjab and Haryana,Section 171H,4,289,12,
19-02-2020,11-06-2021,Forgery,Talwant Singh,Delhi,Section463,4,478,14,
